"Extensions","Erweiterungen"
"Dashboard","Dashboard"
"Changes have been made to this section that have not been saved.","Es wurden Änderungen an diesem Abschnitt vorgenommen, die nicht gespeichert wurden."
"This tab contains invalid data. Please resolve this before saving.","Diese Registerkarte enthält ungültige Daten. Bitte beheben Sie dies vor dem Speichern."
"Installed","Installiert"
"Resources & Support","Ressourcen & Support"
"User Documentation","Benutzerdokumentation"
"Contact Support","Support kontaktieren"
"Upgrade","Upgrade"
"Not Installed","Nicht installiert"
"Connect your Adobe Commerce (Magento) store with global Amazon marketplaces. Automate listings, inventory synchronization, and order management for efficient multichannel selling.","Verbinden Sie Ihren Adobe Commerce (Magento) Shop mit den globalen Amazon Marktplätzen. Automatisieren Sie Auflistungen, die Synchronisierung des Lagerbestands und die Auftragsverwaltung für einen effizienten Mehrkanalvertrieb."
"Key Features","Hauptmerkmale"
"Automated listings","Automatische Auflistungen"
"List and update products on Amazon from your Magento system.","Listen Sie Produkte auf Amazon auf und aktualisieren Sie sie von Ihrem Magento-System aus."
"Real-time inventory sync","Bestandsabgleich in Echtzeit"
"Prevent overselling with automatic stock updates.","Verhindern Sie Überverkauf durch automatische Aktualisierung der Lagerbestände."
"Centralized order management","Zentrale Auftragsverwaltung"
"Handle Amazon orders directly in Magento.","Verwalten Sie Amazon-Bestellungen direkt in Magento."
"Fulfillment by Amazon (FBA) support","Unterstützung für Versand durch Amazon (FBA)"
"Synchronize FBA stock and orders with Magento.","Synchronisieren Sie den Lagerbestand und die Bestellungen von FBA mit Magento."
"Amazon Business integration","Integration von Amazon Business"
"Access B2B features like special pricing and quantity discounts.","Greifen Sie auf B2B-Funktionen wie Sonderpreise und Mengenrabatte zu."
"Dynamic repricing tool","Dynamisches Preisanpassungstool"
"Automatically adjust prices to stay competitive and win the Buy Box.","Passen Sie die Preise automatisch an, um wettbewerbsfähig zu bleiben und die Buy Box zu gewinnen."
"Install","Installieren"
"View Installation Steps","Installationsschritte anzeigen"
