"Extensions","Extensions"
"Dashboard","Tableau de bord"
"Changes have been made to this section that have not been saved.","Des modifications ont été apportées à cette section qui n'ont pas été enregistrées."
"This tab contains invalid data. Please resolve this before saving.","Cet onglet contient des données non valides. Merci de les corriger avant d'enregistrer."
"Installed","Installée"
"Resources & Support","Ressources & Support"
"User Documentation","Documentation Utilisateur"
"Contact Support","Contacter le service d'assistance"
"Upgrade","Mise à niveau"
"Not Installed","Non installé"
"Connect your Adobe Commerce (Magento) store with global Amazon marketplaces. Automate listings, inventory synchronization, and order management for efficient multichannel selling.","Connectez votre boutique Adobe Commerce (Magento) aux marketplaces Amazon. Automatisez les annonces, la synchronisation des stocks et la gestion des commandes pour une vente multicanal efficace."
"Key Features","Principales caractéristiques"
"Automated listings","Annonces automatisées"
"List and update products on Amazon from your Magento system.","Annoncez et mettez à jour des produits sur Amazon depuis votre système Magento."
"Real-time inventory sync","Synchronisation des stocks en temps réel"
"Prevent overselling with automatic stock updates.","Prévenez les surventes grâce aux mises à jour automatiques des stocks."
"Centralized order management","Gestion centralisée des commandes"
"Handle Amazon orders directly in Magento.","Traitez les commandes Amazon directement dans Magento."
"Fulfillment by Amazon (FBA) support","Expédié par Amazon (FBA) support"
"Synchronize FBA stock and orders with Magento.","Synchroniser le stock et les commandes FBA avec Magento."
"Amazon Business integration","Intégration d'Amazon Business"
"Access B2B features like special pricing and quantity discounts.","Accéder à des fonctionnalités B2B telles que des tarifs spéciaux et des remises sur quantité."
"Dynamic repricing tool","Outil de repricing dynamique"
"Automatically adjust prices to stay competitive and win the Buy Box.","Ajustez automatiquement les prix pour rester compétitif et remporter la Buy Box."
"Install","Installation"
"View Installation Steps","Voir les étapes d'installation"
"Connect your Adobe Commerce (Magento) store with global eBay marketplaces, including eBay Motors. Automate listings, inventory sync, and order management for a smooth multichannel selling experience.","Connectez votre boutique Adobe Commerce (Magento) aux places de marché eBay, notamment eBay Motors. Automatisez les annonces, la synchronisation des stocks et la gestion des commandes pour une expérience de vente multicanal fluide."
"List and update products on eBay from your Magento system.","Annoncez et mettez à jour des produits sur eBay à partir de votre système Magento."
"Handle eBay orders directly in Magento.","Traitez les commandes eBay directement dans Magento."
"Flexible stock & pricing rules","Règles flexibles de stock et de tarification"
"Adjust quantities and prices dynamically per marketplace.","Ajuster les quantités et les prix de manière dynamique par marketplace."
"eBay Motors compatibility","Compatibilité avec eBay Motors"
"List auto parts with the Parts Compatibility feature.","Annoncez les pièces automobiles grâce à la fonction Compatibilité des pièces."
"Promotional tools","Outils promotionnels"
"Apply and manage eBay promotions for your listings.","Appliquez et gérez les promotions eBay pour vos annonces."
"Connect your Adobe Commerce (Magento) store with Kaufland's online marketplace in Europe, reaching 30+ million monthly visitors.","Connectez votre boutique Adobe Commerce (Magento) à la marketplace en ligne de Kaufland en Europe, qui compte plus de 30+ millions de visiteurs par mois."
"Automated product mapping","Cartographie automatisée des produits"
"Link your existing Kaufland listings with Magento products.","Reliez vos annonces Kaufland existantes aux produits Magento."
"Easy product listing","Annonce facile de produits"
"List and update products on Kaufland from your Magento system.","Annoncez et mettez à jour des produits sur Kaufland depuis votre système Magento."
"Real-time inventory synchronization","Synchronisation des stocks en temps réel"
"Automatically update stock levels to prevent overselling.","Mettre à jour automatiquement les niveaux de stock pour éviter la survente."
"Handle Kaufland orders directly within Magento.","Traitez les commandes Kaufland directement dans Magento."
"Adjust product quantities and prices dynamically for Kaufland.","Ajuster dynamiquement les quantités et les prix des produits pour Kaufland."
"Connect your Adobe Commerce (Magento) store with OnBuy, Europe’s rapidly growing marketplace and reach over 5 million monthly visitors.","Connectez votre boutique Adobe Commerce (Magento) à OnBuy, la marketplace européenne en pleine croissance, et touchez plus de 5 millions de visiteurs par mois."
"Link your existing OnBuy listings with Magento products.","Reliez vos annonces OnBuy existantes aux produits Magento."
"List and update products on OnBuy from your Magento system.","Annoncez et mettez à jour les produits sur OnBuy à partir de votre système Magento."
"Handle OnBuy orders directly within Magento.","Traitez les commandes OnBuy directement dans Magento."
"Adjust product quantities and prices dynamically for OnBuy.","Ajuster dynamiquement les quantités et les prix des produits pour OnBuy."
"Connect your Adobe Commerce (Magento) store with OTTO Market, one of Germany’s leading online retailers with over 60 million monthly visitors.","Connectez votre boutique Adobe Commerce (Magento) à OTTO Market, l'un des principaux détaillants en ligne d'Allemagne avec plus de 60 millions de visiteurs par mois."
"Link your existing OTTO listings with Magento products.","Reliez vos annonces OTTO existantes aux produits Magento."
"List and update products on OTTO from your Magento system.","Liste et mise à jour des produits sur OTTO à partir de votre système Magento."
"Handle OTTO orders directly within Magento.","Traitez les commandes OTTO directement dans Magento."
"Adjust product quantities and prices dynamically for OTTO.","Ajuster dynamiquement les quantités et les prix des produits pour OTTO."
"Connect your Adobe Commerce (Magento) store with TikTok Shop and reach a vast audience in multiple countries across the globe.","Connectez votre boutique Adobe Commerce (Magento) à TikTok Shop et touchez un vaste public dans plusieurs pays à travers le monde."
"Quickly list and categorize products from Magento on TikTok Shop.","Annonce et catégorisation rapides des produits de Magento sur TikTok Shop."
"Handle TikTok Shop orders directly within Magento.","Traitez les commandes TikTok Shop directement dans Magento."
