"Extensions","Estensioni"
"Dashboard","Cruscotto"
"Changes have been made to this section that have not been saved.","Sono state apportate modifiche a questa sezione che non sono state salvate."
"This tab contains invalid data. Please resolve this before saving.","Questa scheda contiene dati non validi. Risolvi il problema prima di salvare."
"Installed","Installata"
"Resources & Support","Risorse e assistenza"
"User Documentation","Documentazione Utente"
"Contact Support","Contatta supporto"
"Upgrade","Aggiornamento"
"Not Installed","Non installato"
"Connect your Adobe Commerce (Magento) store with global Amazon marketplaces. Automate listings, inventory synchronization, and order management for efficient multichannel selling.","Collega il tuo negozio Adobe Commerce (Magento) ai marketplace globali di Amazon. Automatizza le inserzioni, la sincronizzazione dell'inventario e la gestione degli ordini per una vendita multicanale efficiente."
"Key Features","Caratteristiche principali"
"Automated listings","Inserzioni automatizzate"
"List and update products on Amazon from your Magento system.","Elencare e aggiornare i prodotti su Amazon dal sistema Magento."
"Real-time inventory sync","Sincronizzazione dell'inventario in tempo reale"
"Prevent overselling with automatic stock updates.","Prevenire l'overselling con aggiornamenti automatici delle scorte."
"Centralized order management","Gestione centralizzata degli ordini"
"Handle Amazon orders directly in Magento.","Gestisci gli ordini di Amazon direttamente in Magento."
"Fulfillment by Amazon (FBA) support","Supporto Logistica di Amazon (FBA)"
"Synchronize FBA stock and orders with Magento.","Sincronizzare le scorte e gli ordini di FBA con Magento."
"Amazon Business integration","Integrazione Amazon Business"
"Access B2B features like special pricing and quantity discounts.","Accedi alle funzioni B2B come prezzi speciali e sconti sulla quantità."
"Dynamic repricing tool","Strumento dinamico di revisione dei prezzi"
"Automatically adjust prices to stay competitive and win the Buy Box.","Regolare automaticamente i prezzi per rimanere competitivi e vincere la Buy Box."
"Install","Installare"
"View Installation Steps","Visualizza le fasi di installazione"
"Connect your Adobe Commerce (Magento) store with global eBay marketplaces, including eBay Motors. Automate listings, inventory sync, and order management for a smooth multichannel selling experience.","Collegate il vostro negozio Adobe Commerce (Magento) con i marketplace globali di eBay, compreso eBay Motors. Automatizzate le inserzioni, la sincronizzazione dell'inventario e la gestione degli ordini per un'esperienza di vendita multicanale senza problemi."
"List and update products on eBay from your Magento system.","Elencate e aggiornate i prodotti su eBay dal vostro sistema Magento."
"Handle eBay orders directly in Magento.","Gestisci gli ordini eBay direttamente in Magento."
"Flexible stock & pricing rules","Regole flessibili per le scorte e i prezzi"
"Adjust quantities and prices dynamically per marketplace.","Regola quantità e prezzi in modo dinamico per ogni marketplace."
"eBay Motors compatibility","Compatibilità con eBay Motors"
"List auto parts with the Parts Compatibility feature.","Elencare i ricambi auto con la funzione Compatibilità dei ricambi."
"Promotional tools","Strumenti promozionali"
"Apply and manage eBay promotions for your listings.","Applicare e gestire le promozioni eBay per le vostre inserzioni."
"Connect your Adobe Commerce (Magento) store with Kaufland's online marketplace in Europe, reaching 30+ million monthly visitors.","Collega il tuo negozio Adobe Commerce (Magento) al marketplace online di Kaufland in Europa, raggiungendo oltre 30+ milioni di visitatori mensili."
"Automated product mapping","Mappatura automatizzata dei prodotti"
"Link your existing Kaufland listings with Magento products.","Collegate le vostre inserzioni Kaufland esistenti con i prodotti Magento."
"Easy product listing","Inserzione facile dei prodotti"
"List and update products on Kaufland from your Magento system.","Elencate e aggiornate i prodotti su Kaufland dal vostro sistema Magento."
"Real-time inventory synchronization","Sincronizzazione dell'inventario in tempo reale"
"Automatically update stock levels to prevent overselling.","Aggiornare automaticamente i livelli delle scorte per evitare la vendita eccessiva."
"Handle Kaufland orders directly within Magento.","Gestisci gli ordini Kaufland direttamente all'interno di Magento."
"Adjust product quantities and prices dynamically for Kaufland.","Regolare in modo dinamico le quantità e i prezzi dei prodotti per Kaufland."
