"Extensions","Extensiones"
"Dashboard","Panel de control"
"Changes have been made to this section that have not been saved.","Se han realizado cambios en esta sección que no se han guardado."
"This tab contains invalid data. Please resolve this before saving.","Esta ficha contiene datos no válidos. Por favor, resuélvelo antes de guardar."
"Installed","Instalada"
"Resources & Support","Recursos y asistencia"
"User Documentation","Documentación del usuario"
"Contact Support","Contacta a Soporte"
"Upgrade","Actualizar"
"Not Installed","No instalado"
"Connect your Adobe Commerce (Magento) store with global Amazon marketplaces. Automate listings, inventory synchronization, and order management for efficient multichannel selling.","Conecte su tienda de Adobe Commerce (Magento) con los marketplaces globales de Amazon. Automatice los anuncios, la sincronización de inventario y la gestión de pedidos para una venta multicanal eficiente."
"Key Features","Funciones principales"
"Automated listings","Anuncios automatizados"
"List and update products on Amazon from your Magento system.","Lista y actualización de productos en Amazon desde su sistema Magento."
"Real-time inventory sync","Sincronización de inventario en tiempo real"
"Prevent overselling with automatic stock updates.","Evite la sobreventa con actualizaciones automáticas de existencias."
"Centralized order management","Gestión centralizada de pedidos"
"Handle Amazon orders directly in Magento.","Gestione los pedidos de Amazon directamente en Magento."
"Fulfillment by Amazon (FBA) support","Soporte de Logística de Amazon (FBA)"
"Synchronize FBA stock and orders with Magento.","Sincronizar el stock y los pedidos de Logística de Amazon con Magento."
"Amazon Business integration","Integración con Amazon Business"
"Access B2B features like special pricing and quantity discounts.","Acceda a funciones B2B como precios especiales y descuentos por cantidad."
"Dynamic repricing tool","Herramienta dinámica de reajuste de precios"
"Automatically adjust prices to stay competitive and win the Buy Box.","Ajustar automáticamente los precios para seguir siendo competitivos y ganar el Buy Box."
"Install","Instalar"
"View Installation Steps","Ver pasos de instalación"
"Connect your Adobe Commerce (Magento) store with global eBay marketplaces, including eBay Motors. Automate listings, inventory sync, and order management for a smooth multichannel selling experience.","Conecte su tienda de Adobe Commerce (Magento) con los marketplaces globales de eBay, incluido eBay Motors. Automatice los anuncios, la sincronización del inventario y la gestión de pedidos para una experiencia de venta multicanal fluida."
"List and update products on eBay from your Magento system.","Lista y actualiza productos en eBay desde tu sistema Magento."
"Handle eBay orders directly in Magento.","Gestione los pedidos de eBay directamente en Magento."
"Flexible stock & pricing rules","Normas flexibles de existencias y precios"
"Adjust quantities and prices dynamically per marketplace.","Ajustar cantidades y precios de forma dinámica por marketplace."
"eBay Motors compatibility","Compatibilidad con eBay Motors"
"List auto parts with the Parts Compatibility feature.","Lista de piezas de automóviles con la función Compatibilidad de piezas."
"Promotional tools","Herramientas promocionales"
"Apply and manage eBay promotions for your listings.","Aplica y gestiona las promociones de eBay para tus anuncios."
"Connect your Adobe Commerce (Magento) store with Kaufland's online marketplace in Europe, reaching 30+ million monthly visitors.","Conecte su tienda de Adobe Commerce (Magento) con el marketplace online de Kaufland en Europa, que llega a más de 30 millones de visitantes mensuales."
"Automated product mapping","Asignación automática de productos"
"Link your existing Kaufland listings with Magento products.","Vincula tus anuncios existentes de Kaufland con productos de Magento."
"Easy product listing","Fácil anuncio de productos"
"List and update products on Kaufland from your Magento system.","Lista y actualiza productos en Kaufland desde tu sistema Magento."
"Real-time inventory synchronization","Sincronización de inventario en tiempo real"
"Automatically update stock levels to prevent overselling.","Actualizar automáticamente los niveles de existencias para evitar la sobreventa."
"Handle Kaufland orders directly within Magento.","Gestione los pedidos de Kaufland directamente en Magento."
"Adjust product quantities and prices dynamically for Kaufland.","Ajustar las cantidades y los precios de los productos de forma dinámica para Kaufland."
"Connect your Adobe Commerce (Magento) store with OnBuy, Europe’s rapidly growing marketplace and reach over 5 million monthly visitors.","Conecte su tienda de Adobe Commerce (Magento) con OnBuy, el marketplace de rápido crecimiento en Europa, y llegue a más de 5 millones de visitantes mensuales."
"Link your existing OnBuy listings with Magento products.","Vincule sus anuncios existentes de OnBuy con los productos de Magento."
"List and update products on OnBuy from your Magento system.","Lista y actualiza productos en OnBuy desde tu sistema Magento."
"Handle OnBuy orders directly within Magento.","Gestione los pedidos de OnBuy directamente en Magento."
"Adjust product quantities and prices dynamically for OnBuy.","Ajuste las cantidades y los precios de los productos de forma dinámica para OnBuy."
"Connect your Adobe Commerce (Magento) store with OTTO Market, one of Germany’s leading online retailers with over 60 million monthly visitors.","Conecte su tienda de Adobe Commerce (Magento) con OTTO Market, uno de los principales minoristas en línea de Alemania con más de 60 millones de visitantes mensuales."
"Link your existing OTTO listings with Magento products.","Vincule sus anuncios OTTO existentes con productos Magento."
"List and update products on OTTO from your Magento system.","Lista y actualiza productos en OTTO desde tu sistema Magento."
"Handle OTTO orders directly within Magento.","Gestione los pedidos de OTTO directamente en Magento."
"Adjust product quantities and prices dynamically for OTTO.","Ajuste las cantidades y los precios de los productos de forma dinámica para OTTO."
